# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 0.000253578
#t	m[q->0]
1.45071e+17	0
1.54743e+17	0
1.74085e+17	0
1.93428e+17	0
2.12771e+17	0
2.32114e+17	0
2.51457e+17	0
2.70799e+17	0
2.90142e+17	0
3.09485e+17	0
3.48171e+17	0
3.86856e+17	0
4.25542e+17	0
4.64228e+17	0
5.02913e+17	0
5.41599e+17	0
5.80284e+17	0
6.1897e+17	0
6.96341e+17	0
7.73713e+17	0
8.51084e+17	0
9.28455e+17	0
1.00583e+18	0
1.0832e+18	0
1.16057e+18	0
1.23794e+18	0
1.39268e+18	0
1.54743e+18	0
1.70217e+18	0
1.85691e+18	0
2.01165e+18	0
2.1664e+18	0
2.32114e+18	0
2.47588e+18	0
2.78537e+18	0
3.09485e+18	0
3.40434e+18	0
3.71382e+18	0
4.02331e+18	0
4.33279e+18	0
4.64228e+18	0
4.95176e+18	0
5.57073e+18	0
6.1897e+18	0
6.80867e+18	0
7.42764e+18	0
8.04661e+18	0
8.66558e+18	0
9.28455e+18	0
9.90352e+18	0
1.11415e+19	0
1.23794e+19	0
1.36173e+19	0
1.48553e+19	0
1.60932e+19	0
1.73312e+19	0
1.85691e+19	0
1.9807e+19	0
2.22829e+19	0
2.47588e+19	0
2.72347e+19	0
2.97106e+19	0
3.21864e+19	0
3.46623e+19	0
3.71382e+19	0
3.96141e+19	0
4.45658e+19	0
4.95176e+19	0
5.44694e+19	0
5.94211e+19	0
6.43729e+19	0
6.93246e+19	0
7.42764e+19	0
7.92282e+19	0
8.91317e+19	0
9.90352e+19	0
1.08939e+20	0
1.18842e+20	0
1.28746e+20	0
1.38649e+20	0
1.48553e+20	0
1.58456e+20	0
1.78263e+20	0
1.9807e+20	0
2.17877e+20	0
2.37684e+20	0
2.57492e+20	0
2.77299e+20	0
2.97106e+20	0
3.16913e+20	0
3.56527e+20	0
3.96141e+20	0
4.35755e+20	0
4.75369e+20	0
5.14983e+20	0
5.54597e+20	0
5.94211e+20	0
6.33825e+20	0
7.13053e+20	0
7.92282e+20	0
8.7151e+20	0
9.50738e+20	0
1.02997e+21	0
1.10919e+21	0
1.18842e+21	0
1.26765e+21	0
1.42611e+21	0
1.58456e+21	0
1.74302e+21	0
1.90148e+21	0
2.05993e+21	0
2.21839e+21	0
2.37684e+21	0
2.5353e+21	0
2.85221e+21	0
3.16913e+21	0
3.48604e+21	0
3.80295e+21	0
4.11986e+21	0
4.43678e+21	0
4.75369e+21	0
5.0706e+21	0
5.70443e+21	0
6.33825e+21	0
6.97208e+21	0
7.6059e+21	0
8.23973e+21	0
8.87355e+21	0
9.50738e+21	0
1.01412e+22	0
1.14089e+22	0
1.26765e+22	0
1.39442e+22	0
1.52118e+22	0
1.64795e+22	0
1.77471e+22	0
1.90148e+22	0
2.02824e+22	0
2.28177e+22	0
2.5353e+22	0
2.78883e+22	0
3.04236e+22	0
3.29589e+22	0
3.54942e+22	0
3.80295e+22	0
4.05648e+22	0
4.56354e+22	0
5.0706e+22	0
5.57766e+22	0
6.08472e+22	0
6.59178e+22	0
7.09884e+22	0
7.6059e+22	0
8.11296e+22	0
9.12708e+22	0
1.01412e+23	0
1.11553e+23	0
1.21694e+23	0
1.31836e+23	0
1.41977e+23	0
1.52118e+23	0
